scale,rule_id,anchor_p,seed_q0,true_q_for_audit_only,upper_bound,seed_least_factor_for_audit_only,seed_to_true_delta,least_factor_equals_seed_to_true_delta,selected_q,selected_delta_from_true,failure_mode,positions_checked,materialized_witness_count,did_evaluate,failure_reason,pure_pgs_eligible_input
1000000000000,materialized_witness_residue_advance_wheel_open,999999999331,999999999337,999999999359,999999999459,546323,22,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999331,999999999337,999999999359,999999999459,546323,22,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999331,999999999337,999999999359,999999999459,546323,22,False,,,no_selection,0,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime_wheel_open,999999999331,999999999337,999999999359,999999999459,546323,22,False,,,no_selection,0,0,True,,False
1000000000000,visible_prime_residue_advance,999999999287,999999999289,999999999293,999999999415,668029,4,False,999999999293,0,correct,4,0,True,,True
1000000000000,visible_prime_residue_advance_wheel_open,999999999287,999999999289,999999999293,999999999415,668029,4,False,999999999293,0,correct,4,0,True,,True
1000000000000,visible_integer_residue_advance,999999999287,999999999289,999999999293,999999999415,668029,4,False,999999999293,0,correct,4,0,True,,True
1000000000000,visible_integer_residue_advance_wheel_open,999999999287,999999999289,999999999293,999999999415,668029,4,False,999999999293,0,correct,4,0,True,,True
1000000000000,materialized_witness_residue_advance,999999999287,999999999289,999999999293,999999999415,668029,4,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,materialized_witness_residue_advance_wheel_open,999999999287,999999999289,999999999293,999999999415,668029,4,False,,,no_selection,0,0,False,missing_materialized_candidate_rows,True
1000000000000,audit_q0_plus_least_factor,999999999287,999999999289,999999999293,999999999415,668029,4,False,,,no_selection,1,0,True,,False
1000000000000,audit_least_factor_progression_visible_prime,999999999287,999999999289,999999999293,999999999415,668029,4,False,,,no_selection,0,0,True,,False
